Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-hcdsns.sns.implementationGuide.json	8897	-	0	0	0	0	0	0	10	784	0	0	0	0	0	0	0	1	0	0	182	124	0	0	1	3	0	3
fsh-generated/resources/Bundle-BundleLabResultReportPOC.json	11565	53	1	0	0	1	888	0	3	26365	0	0	0	0	0	0	0	0	0	0	114	735	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-DocumentReferenceMinimal.json	1315	27	3	0	0	0	0	0	0	580	0	0	0	0	0	0	0	0	0	0	43	31	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-DocumentReferenceRefHC.json	1298	15	5	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	42	31	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-DocumentReferenceRefInforme.json	1587	19	1	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	50	33	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-DocumentReference-minimal-sns.json	5472	20	2	0	1	0	0	245	0	541	0	0	0	0	0	0	0	3	0	0	1035	3558	0	1	0	13	1	1
fsh-generated/resources/StructureDefinition-DocumentReference-refHC-sns.json	4148	31	0	0	0	0	0	230	0	48	0	0	2	0	0	0	0	2	0	0	1263	1345	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-DocumentReference-refInf-sns.json	4905	26	1	0	0	0	0	183	0	53	0	0	0	0	0	1	0	1	0	0	1284	1137	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-PatientMinimalSNS.json	2492	15	0	0	0	0	0	258	0	37	0	0	0	0	0	0	0	1	0	0	882	1025	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-num-ref-incorrectas.json	1639	20	0	0	0	0	0	52	0	20	0	0	0	0	0	0	0	0	0	0	186	321	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-patient-flag-oculto.json	1486	23	1	0	0	0	0	45	1	21	0	0	0	0	0	0	0	0	0	0	186	478	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-patient-operacion.json	1471	22	0	0	0	0	0	30	0	23	0	0	0	0	0	0	0	0	0	0	157	374	0	0	0	2	0	0
